accession.nb	Species	Order 	Taxon
AF111039.1	Arctocephalus gazella	Carnivora	Pinnipedia
AF111040.1	Arctocephalus gazella	Carnivora	Pinnipedia
AF111041.1	Arctocephalus gazella	Carnivora	Pinnipedia
AF111042.1	Arctocephalus gazella	Carnivora	Pinnipedia
KP127612.1	Neophoca cinerea	Carnivora	Pinnipedia
KP127613.1	Neophoca cinerea	Carnivora	Pinnipedia
KP127614.1	Neophoca cinerea	Carnivora	Pinnipedia
AF503397.1	Zalophus californianus	Carnivora	Pinnipedia
AF503398.1	Zalophus californianus	Carnivora	Pinnipedia
AF503399.1	Zalophus californianus	Carnivora	Pinnipedia
AF503400.1	Zalophus californianus	Carnivora	Pinnipedia
AF503401.1	Zalophus californianus	Carnivora	Pinnipedia
AF503402.1	Zalophus californianus	Carnivora	Pinnipedia
AF503406.1	Zalophus californianus	Carnivora	Pinnipedia
AF503407.1	Zalophus californianus	Carnivora	Pinnipedia
M90803.1	Canis familiaris	Carnivora	Canidae
M90804.1	Canis familiaris	Carnivora	Canidae
M90805.1	Canis familiaris	Carnivora	Canidae
M90802.1	Canis familiaris	Carnivora	Canidae
S53615.1	Canis familiaris	Carnivora	Canidae
Y07945.1	Canis familiaris	Carnivora	Canidae
Y07946.1	Canis familiaris	Carnivora	Canidae
Y07947.1	Canis familiaris	Carnivora	Canidae
Y07948.1	Canis familiaris	Carnivora	Canidae
Y07949.1	Canis familiaris	Carnivora	Canidae
AF016904.1	Canis familiaris	Carnivora	Canidae
AF016905.1	Canis familiaris	Carnivora	Canidae
AF016906.1	Canis familiaris	Carnivora	Canidae
AF016907.1	Canis familiaris	Carnivora	Canidae
AF016908.1	Canis familiaris	Carnivora	Canidae
AF016909.1	Canis familiaris	Carnivora	Canidae
NM_001014381.1	Canis familiaris	Carnivora	Canidae
HE663126.1	Zalophus wollebaeki	Carnivora	Pinnipedia
HE663127.1	Zalophus wollebaeki	Carnivora	Pinnipedia
HE663128.1	Zalophus wollebaeki	Carnivora	Pinnipedia
AY007203.1	Neomonachus schauinslandi	Carnivora	Pinnipedia
AY007204.1	Neomonachus schauinslandi	Carnivora	Pinnipedia
AB473936.1	Ursus thibetanus	Carnivora	Ursidae
AB763912.1	Ursus thibetanus	Carnivora	Ursidae
AB763913.1	Ursus thibetanus	Carnivora	Ursidae
AB763914.1	Ursus thibetanus	Carnivora	Ursidae
AB763915.1	Ursus thibetanus	Carnivora	Ursidae
AB763916.1	Ursus thibetanus	Carnivora	Ursidae
AB763917.1	Ursus thibetanus	Carnivora	Ursidae
AB763918.1	Ursus thibetanus	Carnivora	Ursidae
AB763919.1	Ursus thibetanus	Carnivora	Ursidae
AB763920.1	Ursus thibetanus	Carnivora	Ursidae
AB763921.1	Ursus thibetanus	Carnivora	Ursidae
AB763922.1	Ursus thibetanus	Carnivora	Ursidae
AB763923.1	Ursus thibetanus	Carnivora	Ursidae
AB763924.1	Ursus thibetanus	Carnivora	Ursidae
AB763925.1	Ursus thibetanus	Carnivora	Ursidae
AB763926.1	Ursus thibetanus	Carnivora	Ursidae
AB763927.1	Ursus thibetanus	Carnivora	Ursidae
AB763928.1	Ursus thibetanus	Carnivora	Ursidae
AB763929.1	Ursus thibetanus	Carnivora	Ursidae
AB763930.1	Ursus thibetanus	Carnivora	Ursidae
AB763931.1	Ursus thibetanus	Carnivora	Ursidae
AB763932.1	Ursus thibetanus	Carnivora	Ursidae
AB634514.1	Ursus thibetanus	Carnivora	Ursidae
AB634515.1	Ursus thibetanus	Carnivora	Ursidae
AB634516.1	Ursus thibetanus	Carnivora	Ursidae
AB634517.1	Ursus thibetanus	Carnivora	Ursidae
AB634518.1	Ursus thibetanus	Carnivora	Ursidae
AB634519.1	Ursus thibetanus	Carnivora	Ursidae
AB634520.1	Ursus thibetanus	Carnivora	Ursidae
AB634521.1	Ursus thibetanus	Carnivora	Ursidae
AB634522.1	Ursus thibetanus	Carnivora	Ursidae
AB634523.1	Ursus thibetanus	Carnivora	Ursidae
AB634525.1	Ursus thibetanus	Carnivora	Ursidae
AB634526.1	Ursus thibetanus	Carnivora	Ursidae
AB634527.1	Ursus thibetanus	Carnivora	Ursidae
AB634528.1	Ursus thibetanus	Carnivora	Ursidae
AB634529.1	Ursus thibetanus	Carnivora	Ursidae
AB634530.1	Ursus thibetanus	Carnivora	Ursidae
AB634531.1	Ursus thibetanus	Carnivora	Ursidae
AB634532.1	Ursus thibetanus	Carnivora	Ursidae
AB634533.1	Ursus thibetanus	Carnivora	Ursidae
AB634534.1	Ursus thibetanus	Carnivora	Ursidae
AB634535.1	Ursus thibetanus	Carnivora	Ursidae
AB634536.1	Ursus thibetanus	Carnivora	Ursidae
AB634524.1	Ursus thibetanus	Carnivora	Ursidae
JX469892.1	Ursus arctos	Carnivora	Ursidae
JX469893.1	Ursus arctos	Carnivora	Ursidae
JX469894.1	Ursus arctos	Carnivora	Ursidae
JX469895.1	Ursus arctos	Carnivora	Ursidae
AF111043.1	Arctocephalus forsteri	Carnivora	Pinnipedia
AF111044.1	Arctocephalus forsteri	Carnivora	Pinnipedia
AF111045.1	Arctocephalus forsteri	Carnivora	Pinnipedia
AF111030.1	Mirounga angustirostris	Carnivora	Pinnipedia
AF111031.1	Mirounga angustirostris	Carnivora	Pinnipedia
AF111032.1	Mirounga leonina	Carnivora	Pinnipedia
AF111033.1	Mirounga leonina	Carnivora	Pinnipedia
AF111034.1	Mirounga leonina	Carnivora	Pinnipedia
AF111035.1	Mirounga leonina	Carnivora	Pinnipedia
