sample	position	index_L	index_R	age	pair_id	Lpri	Rpri	Group
W8924M	A10 	N710	S501	M	20	dqb_f	dqb_r	mhc_dqb
W8923M	B9	N709	S502	M	18	dqb_f	dqb_r	mhc_dqb
AGF11014	D3	N703	S504	M	37	dqb_f	dqb_r	mhc_dqb
W8928P	D11	N711	S504	P	24	dqb_f	dqb_r	mhc_dqb
AGF11016	E2	N702	S505	M	41	dqb_f	dqb_r	mhc_dqb
AGF11019	E10	N710	S505	M	44	dqb_f	dqb_r	mhc_dqb
AGP11145	F6	N706	S506	P	41	dqb_f	dqb_r	mhc_dqb
W8915M	G2	N702	S507	M	8	dqb_f	dqb_r	mhc_dqb
W8916P	G3	N703	S507	P	10	dqb_f	dqb_r	mhc_dqb
W8924P	H6	N706	S508	P	20	dqb_f	dqb_r	mhc_dqb
AGF11011	B1	N701	S502	M	28	dqb_f	dqb_r	mhc_dqb
W8914M	C11	N711	S503	M	7	dqb_f	dqb_r	mhc_dqb
AGF11015	B2	N702	S502	M	40	dqb_f	dqb_r	mhc_dqb
AGF11008	B3	N703	S502	M	19	dqb_f	dqb_r	mhc_dqb
AGF11023	B4	N704	S501	M	48	dqb_f	dqb_r	mhc_dqb
W8935pup	B5	N705	S502	P	35	dqb_f	dqb_r	mhc_dqb
W8922mum	B6	N706	S502	M	17	dqb_f	dqb_r	mhc_dqb
AGF11005	B7	N707	S502	M	5	dqb_f	dqb_r	mhc_dqb
W8931mum	B8	N708	S502	M	31	dqb_f	dqb_r	mhc_dqb
AGP11144	B10	N710	S502	P	40	dqb_f	dqb_r	mhc_dqb
W8923pup	B11	N711	S502	P	18	dqb_f	dqb_r	mhc_dqb
W8930mum	C9	N709	S503	M	30	dqb_f	dqb_r	mhc_dqb
W8939mum	C10	N710	S503	M	39	dqb_f	dqb_r	mhc_dqb
W8922pup	D4	N704	S504	P	17	dqb_f	dqb_r	mhc_dqb
AGP11014	D5	N705	S504	P	2	dqb_f	dqb_r	mhc_dqb
W8936pup	D6	N706	S504	P	36	dqb_f	dqb_r	mhc_dqb
AGP11063	D8	N708	S504	P	28	dqb_f	dqb_r	mhc_dqb
AGF11018	E3	N703	S505	M	43	dqb_f	dqb_r	mhc_dqb
W8921pup	E4	N704	S505	P	16	dqb_f	dqb_r	mhc_dqb
AGP11125	E5	N705	S505	P	37	dqb_f	dqb_r	mhc_dqb
AGF11022	E6	N706	S505	M	47	dqb_f	dqb_r	mhc_dqb
W8914pup	E7	N707	S505	P	7	dqb_f	dqb_r	mhc_dqb
W8928pup	E8	N708	S505	P	24	dqb_f	dqb_r	mhc_dqb
W8920pup	E9	N709	S505	P	14	dqb_f	dqb_r	mhc_dqb
W8913pup	F2	N702	S506	P	6	dqb_f	dqb_r	mhc_dqb
AGF11006	F3	N703	S506	M	9	dqb_f	dqb_r	mhc_dqb
AGF11012	F4	N704	S506	M	29	dqb_f	dqb_r	mhc_dqb
W8925pup	F8	N708	S506	P	21	dqb_f	dqb_r	mhc_dqb
W8920mum	F9	N709	S506	M	14	dqb_f	dqb_r	mhc_dqb
W8933mum	F10	N710	S506	M	33	dqb_f	dqb_r	mhc_dqb
W8935mum	F11	N711	S506	M	35	dqb_f	dqb_r	mhc_dqb
W8916mum	G5	N705	S507	M	10	dqb_f	dqb_r	mhc_dqb
AGF11010	G7	N707	S507	M	27	dqb_f	dqb_r	mhc_dqb
AGP11032	G8	N708	S507	P	9	dqb_f	dqb_r	mhc_dqb
W8914mum	A4	N703	S508	M	7	dqb_f	dqb_r	mhc_dqb
AGP11185	A6	N706	S501	P	46	dqb_f	dqb_r	mhc_dqb
AGF11009	A9	N709	S501	M	26	dqb_f	dqb_r	mhc_dqb
W8921mum	C1	N701	S503	M	16	dqb_f	dqb_r	mhc_dqb
AGP11211	C2	N702	S503	P	47	dqb_f	dqb_r	mhc_dqb
W8927mum	C3	N703	S503	M	23	dqb_f	dqb_r	mhc_dqb
AGF11002	C4	N704	S503	M	2	dqb_f	dqb_r	mhc_dqb
AGF11003	C5	N705	S503	M	3	dqb_f	dqb_r	mhc_dqb
AGP11079	C6	N706	S503	P	29	dqb_f	dqb_r	mhc_dqb
W8937mum	D1	N701	S504	M	38	dqb_f	dqb_r	mhc_dqb
AGP11174	D2	N702	S504	P	43	dqb_f	dqb_r	mhc_dqb
W8552/W8258pup	E1	N701	S505	P	25	dqb_f	dqb_r	mhc_dqb
W8935mum	F1	N701	S506	M	35	dqb_f	dqb_r	mhc_dqb
W8918pup	G1	N701	S507	P	12	dqb_f	dqb_r	mhc_dqb
W8930pup	G6	N706	S507	P	30	dqb_f	dqb_r	mhc_dqb
AGP11078	C8	N708	S503	P	26	dqb_f	dqb_r	mhc_dqb
AGF11007	H11	N711	S508	M	15	dqb_f	dqb_r	mhc_dqb
AGP11065	F7	N707	S506	P	27	dqb_f	dqb_r	mhc_dqb
W8928mum	H5	N705	S508	M	24	dqb_f	dqb_r	mhc_dqb
AGF11021	A5	N705	S501	M	46	dqb_f	dqb_r	mhc_dqb
W8552/W8258mum	A7	N707	S501	M	25	dqb_f	dqb_r	mhc_dqb
W8925mum	A11	N711	S501	M	21	dqb_f	dqb_r	mhc_dqb
AGP11041	D7	N707	S504	P	19	dqb_f	dqb_r	mhc_dqb
W8937pup	D9	N709	S504	P	38	dqb_f	dqb_r	mhc_dqb
W8918mum	D10	N710	S504	M	12	dqb_f	dqb_r	mhc_dqb
W8933P	E11	N711	S505	P	33	dqb_f	dqb_r	mhc_dqb
W8933P	G4	N704	S507	P	33	dqb_f	dqb_r	mhc_dqb
W8931pup	G10	N710	S507	P	31	dqb_f	dqb_r	mhc_dqb
W8913M	H2	N702	S508	M	6	dqb_f	dqb_r	mhc_dqb
AGF11007	H10	N710	S508	M	15	dqb_f	dqb_r	mhc_dqb
